ID,title_ja,title_en,creator_id,DDC_category,type,description_ja,description_en,URI,link_check_date,link_check_result
D00001,朝鮮写真絵はがきデータベース,,C00047,900,image,山本俊介氏(元高麗美術館研究員、京都市)が所蔵する、1900～1940年代に発行された朝鮮写真絵はがき等を、書誌情報を基にデータベース化したもの。,"Photo picture postcards of Korea published 1900–1940 (collection of Yamamoto Shunsuke, Kyoto; former researcher at the Koryo Museum of Art, Kyoto) are presented in digital format together with publication data and other details.",http://kutsukake.nichibun.ac.jp/CHO/index.html?page=1,31.12.2022,OK
D00002,近世期絵入百科事典,,C00047,"000, 900",image,近世期に出版された絵入百科事典を対象としたデータベース。『訓蒙図彙（きんもうずい）』をはじめとした「訓蒙図彙もの」、また事物に対する名称と図が含まれている書物を対象とする。,A database of illustrated encyclopedias published in early modern Japan. Includes Kinmōzui (1666) and other “Kinmōzui”-type encylopedias as well as books with pictorial and diagramed information.,https://kutsukake.nichibun.ac.jp/EHJ/,31.12.2022,OK
D00003,所蔵地図データベース,,C00047,900,image,近世の都市地図を中心に、地図資料の所在情報を収録。日文研所蔵地図については、画像データを付加。,"Contains information on the whereabouts of old maps, mainly urban maps made in early modern Japan. Images attached for maps in the Nichibunken collection.",https://lapis.nichibun.ac.jp/chizu/,31.12.2022,OK
D00004,Great Kanto Earthquake Japan of September 1923,関東大震災写真集,C00017,900,still image,関東大震災の写真資料199葉をデジタル化しウェブサイトで公開したもの。テーマなどによるブラウジングとキーワード検索が可能。,"The Great Kanto Earthquake 関東大震災写真集 site contains 199 images, which were scanned from black & white still photos matted on a black background. The album may be supplemental materials to the publication: The Great earthquake of September 1st, 1923: a record from the reports of the ""Japan Chronicle"" of the destruction of Yokohama and Tokyo and the other ravages wrought. Kobe: Japan Chronicle Office. OCLC: 768291265. The report has been digitized and accessible from the National Library of Australia site. This project was funded by the UHM Library and the National Research Center, East Asia grant.",https://digicoll.manoa.hawaii.edu/earthquake/,31.12.2022,OK
D00005,蔵書印データベース,,C00036,000,"bibliography,still image",国文学研究資料館所蔵の和古書目録を参照した印文情報を元に、原本にあたって蔵印情報を更新しつつ印影を蓄積したもの。さらに、他館所蔵資料の蔵書印情報や、数種の蔵書印譜から蔵書印を採録する等して、多様かつ多彩な情報を提供するデータベース。,,http://base1.nijl.ac.jp/~collectors_seal/,31.12.2022,OK
D00006,鴎外文庫書入本画像データベース,,C00087,"800, 000","bibliography,still image",東京大学総合図書館所蔵資料で、森鴎外旧蔵書である「鴎外文庫」のうち、鴎外自筆の写本や、鴎外本人による書き込みなどがある資料の画像データベース。,,http://rarebook.dl.itc.u-tokyo.ac.jp/ogai/,31.12.2022,OK
D00007,Japanese Multi-Volume Titles Finding Aid Collection: Recent submissions,,C00024,000,"bibliography, still image",多巻セット索引,Japanese Multi-Volume Sets Discoverability Improvement,https://digital.lib.washington.edu/researchworks/handle/1773/42610/recent-submissions,31.12.2022,OK
D00008,データベース「日本と世界」,,C00065,000,other,条約、演説等1854年から現在まで,"Conventions, speeches, and other materials from 1854 up to now",https://worldjpn.net/,31.12.2022,OK
D00009,海外源氏情報,Genji overseas,,800,text,海外における源氏研究情報,Research information on the Genji monogatari outside of Japan,http://genjiito.org/,31.12.2022,OK
D00010,祭魚洞文庫旧蔵水産史料,,C00036,900,"bibliography, still image",祭魚洞文庫旧蔵水産史料は、日本全国から収集した水産関連史料群。史料群の書誌情報や所在のほか、一部デジタル化された史料もみられる。,,http://base1.nijl.ac.jp/infolib/meta_pub/G000000252700,31.12.2022,OK
D00011,明治期出版広告データベース,Publishing and Advertisement Database of Meiji Era,C00036,"300, 900","bibliography, still image",明治前期の新聞・雑誌に出版された広告を集めたデータベース。書誌情報の他、一部デジタル資料も閲覧できる。,Database for ads that are published in newspapers and magazines during the early Meiji Era. It contains bibliographic information. Some digital images can also be viewed there.,http://base1.nijl.ac.jp/~meiji_pa/,31.12.2022,OK
D00012,日本古典文学大系本文データベース,,C00036,800,text,岩波書店刊行の旧版「日本古典文学大系」の556作品について、 全文検索が可能なデータベース。学術利用に限られる。,"Database of the previos edition of ""Nihon Koten Bungaku Taikei"" (published by Iwanami Shoten). Full-text search is possible. Limited to academic use.",http://base1.nijl.ac.jp/~nkbthdb/,31.12.2022,OK
D00013,収蔵歴史アーカイブズデータベ－ス,,C00036,"000, 900",bibliography,日本全国の近世・近現代の古文書や記録類、モノ資料などの書誌情報、所蔵情報、資料目録などを検索できるデータベース。資料目録は一部PDFで閲覧できる。,,http://base5.nijl.ac.jp/~archicol/,31.12.2022,OK
D00014,歴史人物画像データベース,,C00036,900,still image,歴史人物の画像データを見ることができる,Digital images of historical persons can be viewed in this database.,http://base1.nijl.ac.jp/~rekijin/,31.12.2022,OK
D00015,近代語のコーパス,,C00039,400,other,近代日本語のコーパス。現時点（２０１８年１０月）で『太陽コーパス』『近代女性雑誌コーパス』『明六雑誌コーパス』『国民之友コーパス』が公開されている。『近代女性雑誌コーパス』『明六雑誌コーパス』『国民之友コーパス』に関してはデータ・セットとしてWebからダウンロードが可能。クリエイティブ・コモンズ BY-NC-NDなどで利用制限があるので、利用の際には各コーパスの利用条件を参照のこと。,,https://clrd.ninjal.ac.jp/cmj/,31.12.2022,OK
D00016,日本語歴史コーパス,,C00039,400,dataset,日本語史研究の基礎資料として開発されているコーパス。オンライン検索ツール「中納言」をつかって利用が可能となっている。,"Corpus, which has been developed as a basic data of Japanese history research. By using a onlie search tool ""Chunagon"" has become possible to use.",https://clrd.ninjal.ac.jp/chj/,31.12.2022,OK
D00017,在欧博物館等保管日本仏教美術資料データベース,Japanese Buddhist Art in European Collections,,"200, 700","bibliography, still image",欧州の博物館などに収蔵されている仏教美術を検索できるデータベース,"This database covers the categories (sculpture, painting, calligraphy/manuscripts, ritual objects, textiles, ofuda) with in the field of Japanese Buddhist objects from European museums. Some entries have also digital images of artefacts.",https://aterui.ws.hosei.ac.jp/jbae/,31.12.2022,OK
D00018,日本アニメーション映画クラシックス,Japanese Animated Film Classics,C00043,700,video,"東京国立近代美術館フィルムセンター(現国立映画アーカイブ)が所蔵しているフィルムや資料をデジタル化したものを公開している。日本の初期アニメーションを動画としてみられる。
",Database created by the National Film Center Tokyo (now the National Film Archive). Digitized materials such as old films and other resources can be viewed. The early Japanese animation flims are also there.,http://animation.filmarchives.jp/en/index.html,31.12.2022,OK
D00019,鯰絵コレクション,,C00047,"200, 700, 900",still image,日文研が所蔵する鯰絵のコレクション。「鯰絵」とは、地底に住む大鯰が地震を起こすという伝説をテーマに描かれた錦絵である。,,http://shinku.nichibun.ac.jp/namazu/ichiran.php,31.12.2022,OK
D00020,国会会議録・政府関係会議議事録等メタデータセット,,C00104,300,dataset,"ここで提供されるメタデータセットには、国会会議録のメタデータ約2万件と、*.go.jp ドメインを持つ組織の議事録・議事概要のメタデータ約2万5000件の情報がcvs形式（UTF8）のデータに収録されている。
これを用いることで、審議会や委員会の議事録を探す作業が容易になる、あるいは、議事録のデータを用いた分析等の研究を、より効率的に推進できる、といった可能性がある。",,http://www.nistep.go.jp/archives/35962,31.12.2022,OK
D00021,ひなぎく 国立国会図書館東日本大震災アーカイブ,Hinagiku National Diet Library Great East Japan Earthquake Archive,C00038,000,"text, still image, video, sound",東日本大震災に関する記録、音声、動画、画像などを収集し検索できるようにしたウェブ・アーカイブ,,http://kn.ndl.go.jp/#/,31.12.2022,OK
D00022,近代文学,,C00006,800,journal article,"総合学術ジャーナルサイト「J-STAGE」では、国内で発行された学術論文の全文を読むことができ、PDF形式でダウンロードできる。自分専用の論文情報ライブラリを作成することもできる。
「宮沢賢治」のキーワードで９４３件の論文が該当。
「夏目漱石」１６０１件、「森鴎外」９４２件、「芥川龍之介」１２４９件、「島崎藤村」６１９件、「樋口一葉」１７９件等。
すべてが同一の作者について書いた論文ではなく、他の作者に関する論文も含んでいるが、大量の論文を読むことができる。資料の形態を絞らないほうが、雑誌記事等も入手できる。
",,https://www.jstage.jst.go.jp/browse/-char/ja/,31.12.2022,OK
D00023,近代文学,,C00036,800,"bibliography, still image",「近代文学」というキーワードで、「学問ノススメ」等５０件の書誌と画像を見ることができる。画像には、表紙画像や本文の画像が数枚含まれる。全文を読むことはできない。「宮沢賢治」で検索すると、「春と修羅」の表紙・蔵書印・奥付などを見ることができる。近代文学の書籍の装丁などを知りたい人に向く。,,https://www.nijl.ac.jp/search-find/#database,31.12.2022,OK
D00024,メディア芸術データベース,,C00068,700,"text, bibliography","マンガ、アニメーション、ゲーム、メディアアートの4種類の検索が可能。その内容は、マンガ:単行本（明治初期かは2016年12月までの刊行物）と雑誌（明治初期かは2016年12月までの刊行物）を作品名、雑誌名、著者名などの条件に絞って検索が可能。また詳細検索（単行本、雑誌、資料）でも検索が可能である。検索項目をクリックすれば、そのキーワードから何が探せるかを教えてくれる。また、アニメーションも同様にタイトル、監督、制作、製作から作品を探すことができる。その際、それがテレビで放映されたものなのか、また劇場版のものなのかも詳細に検索ができる。ポケモン（✳︎「ポケットモンスター」を略称の「ポケモンで検索しても問題はなかった）などの長期作品を調べるのに便利である。
さらにゲームはタイトル検索のほかに年表形式でも検索が可能。
メディアアートは1951年から2016年に開催された関連する展覧会やイベントの情報を知ることができる。

様々な言語に対応しているため海外の方でも検索が容易であると考えられる。",,https://mediaarts-db.bunka.go.jp/?display_view=pc&locale=ja,31.12.2022,OK
D00025,マンガ関連書籍検索,,C00071,700,bibliography,"評論書を書名、著者名、出版社名、内容/キーワード、所蔵機関と細かく検索が可能であり、マンガ研究をする際に役にたつと考えられる。
また、分類での検索も可能である。
例えば「書名検索」にて「ドラゴンボール」と入力して検索してみると、その言葉か含まれた書名とその他詳細情報が出版年順に表示された。
作品によっては目次が表示されるものもあるため、その内容を知ることができる。",,http://akitanet.main.jp/book_search/search.html,31.12.2022,OK
D00026,手塚治虫 TEZUKA OSAMU OFFICIAL,マンガ,C00064,700,"bibliography, still image, video","手塚治虫公式サイトの「マンガ」のページである。
漫画の神様と呼ばれる手塚治虫の残した文化的業績(マンガ、アニメ)を簡単に閲覧でき、日本のマンガについて知る大きな手助けになると考えられる。
各漫画の内容を書誌情報だけでなく実際のマンガも同時に閲覧ができる。さらに、アニメ化されている作品であれば動画を見ることのできるページへとべるリンクも貼られている。",,https://tezukaosamu.net/jp/manga/,31.12.2022,OK
D00027,手塚治虫 TEZUKA OSAMU OFFICIAL,キャラクター,C00064,700,"bibliography, still image","手塚治虫の残した文化的業績(マンガ、アニメ)を簡単に閲覧できる。
「マンガの神様」と呼ばれた手塚治虫の生み出したキャラクターを通して日本のマンガについて知ることができる。
「キャラクター」のページでは各キャラクターの特徴だけでなく、それらの持つメッセージについても書かれているため当時の時代背景(状況)も知ることができると考えられる。",,https://tezukaosamu.net/jp/character/,31.12.2022,OK
D00028,日本マンガ・文化論 マンガ文化の歴史/日本編マンガの歴史,,,700,still image,日本のマンガの歴史とその変遷を知ることができる。出版年別に当時の流行や時代背景が分かりやすくまとめられている。画像が添付されているためどのような漫画であるかイメージがしやすく分かりやすいと考えられる。,,http://www.geocities.jp/laugh_man_is/sampl2.htm,31.12.2022,OK
D00029,年代別流行,名作アニメ,C00060,700,"still image, video","年代別で当時流行していたアニメの内容と画像、映像(全てではない)を閲覧できる。
時代別の流行を知ることで、流行の移り変わる速さや内容を予測できる可能性が生まれる。また、新しい物を作り出す参考、きっかけにもなるだろう。
",,https://nendai-ryuukou.com/anime.html,31.12.2022,OK
D00030,民俗資料データベース,,C00091,900,still image,"・総点９万点を超える日本の生活造形資料
・郷土玩具や信仰資料などの資料カテゴリーからの検索、収集地や素材などからの検索が可能
・海外で収集された資料も含まれるので絞り込み検索を活用するのが良い
",,http://collections.musabi.ac.jp/search_folk/,31.12.2022,OK
D00031,古典画像にみる生活百景,100 Life Scenes in Classical Painting,,900,still image,"日本の古典画像に描かれた生活の光景を選び、コメントを添えて収録。
画像はすべてインターネットでデジタル公開されているものであり、リンクが添えられている。
",,http://people.ucalgary.ca/~xyang/hp/hp.html,31.12.2022,OK
D00032,民俗語彙データベース,,C00044,900,text,"・柳田國男の指導によって収集した語彙を記録した綜合日本民俗語彙を中心に、その他の民族語彙を加え、検索を可能にしたデータベース。
・現在入力されている語彙数は35,239件
・入力フォームの種類が豊富。（見出し語、出典、地名、意味など）
",,https://www.rekihaku.ac.jp/up-cgi/login.pl?p=param/goi/db_param,31.12.2022,OK
D00033,俗信データベース,,C00044,900,text,"・日本の俗信について検索・閲覧できる。
・（身体・病編）（動植物編）合わせて現在の収録数は４万８千件余り。
・フリーワード・伝承地・呼称で検索することができ、検索対象を身体、病、その他などに分けて検索対象を絞ることができる。また、身体一覧、病一覧などもあり、具体的な検索語を知らなくても検索しやすい。
",,https://www.rekihaku.ac.jp/doc/zoku.html,31.12.2022,OK
D00034,日本民俗学学会・機関誌情報検索システム,,C00074,900,bibliography,"・『日本民俗学』（256号まで）と『日本民俗学会報』、以前の学会機関誌である旧『日本民俗学』『民間伝承』に所収の論文・研究ノート等のタイトルが検索できる。
・日本民俗学会という信頼性の高い作成者によるデータベースなので研究・論文に活用しやすい。
",,http://www.fsjnet.jp/cgi-bin/periodical/index.cgi,31.12.2022,OK
D00035,近代文学,太宰Web文庫（太宰ミュージアム）,C00052,800,"text, bibliography","・太宰治の小説を閲覧できる．
　タイトルが五十音順に表示され，１つを選択すると，まずその書
    誌が示される．「作品を読む」をクリックすると，テキストを読
    むことができる．
・ホームに「太宰を知る」「奥津軽観光」のページがあり，作者の
    生い立ちや故郷について知ることができる．",,dazai.or.jp/modules/contents/novel.html,31.12.2022,OK
D00036,果物情報サイト　果物ナビ,,,300,"text, still image",果物が写真付きで紹介されている。その果物の分類や原産地などの基礎データに加え、旬や種類、歴史、主な栄養素や効能なども紹介されている。,,https://www.kudamononavi.com/,31.12.2022,OK
D00037,市場魚介類図鑑,,C00021,300,"text, still image",魚や貝の分類、外国名や学名、生息域や旬が写真付きで紹介されている。それらの基本情報に加え、日本で呼ばれている地方名や市場名についても紹介されている。,,https://www.zukan-bouz.com/,31.12.2022,OK
D00038,農山漁村の郷土料理百選,,C00023,300,"text, still image","日本全国の郷土料理（農林水産省選定）が写真付きで地域別に紹介されている。
料理をクリックすると、その料理の名前の由来や歴史、そしてレシピを知ることが出来る。",,http://www.location-research.co.jp/kyoudoryouri100/recipe/selection/1,31.12.2022,OK
D00039,古典総合データベース,,C00077,800,still image,"書誌情報、挿絵、本の状態の確認可能
早稲田大学内での請求記号も記載",,http://www.wul.waseda.ac.jp/kotenseki/index.html,31.12.2022,OK
D00040,新日本古典籍総合データベース,"Database of Pre-Modern Japanese Works
",,800,bibliography,国文学研究資料館が作成・管理するデータベース。さまざまな機関が所蔵する古典籍,,https://kotenseki.nijl.ac.jp/?ln=en,31.12.2022,OK
D00041,神道・神社史料集成（古代）,Shinto Jinja Database,C00048,200,"text, bibliography, cartographic material",古代の神社・約450社について、鎮座地や『延喜式』神名帳における記載、神位・神勲位などを示したもの,"Historical Sources about Shinto and Jinja, based on mainly Rikkokushi(六国史)",https://d-museum.kokugakuin.ac.jp/search_by_word/id=18089,31.12.2022,OK
D00042,地理院地図 (電子国土Web),,C00035,900,"still image, cartographic material",日本地図を標準地図から白地図、写真、災害地図等各種閲覧できる,"Several variations of Japanes maps (standard, photo, dissaster etc.)",http://maps.gsi.go.jp/#5/36.104611/140.084556/&base=std&ls=std&disp=1&lcd=blank&vs=c1j0h0k0l0u0t0z0r0s0f2&d=v,31.12.2022,OK
D00043,Japanese Historical Maps,,C00002,900,cartographic material,カリフォルニア大学バークレー校東アジア図書館所蔵の日本歴史地図,"The Japanese Historical Map Collection of East Asian Library, University of Callifornia, Barkeley",http://www.davidrumsey.com/japan/,31.12.2022,OK
D00044,文化遺産オンライン,Cultural Heritage Online,C00067,"700, 900",still image,文化遺産についての電子情報広場（ポータルサイト）。 全国の博物館・美術館等から提供された作品や国宝・重要文化財などの情報を閲覧できる。,Search and see the Pictures of Cultural Heritage those from museums in Japan. ,http://bunka.nii.ac.jp/,31.12.2022,OK
D00045,京都学派アーカイブ,The Kyoto School Archive,C00028,100,still image,西田幾多郎と田辺元の手書き原稿を中心にした一次資料を画像データで提供しているアーカイブ。また画像を一括ダウンロードして、SMART-GSを使って，すべての画像を一斉に筆跡検索することも可能。,,https://www.kyoto-gakuha.org/,31.12.2022,OK
D00046,丸山眞男文庫バーチャル書庫,Virtual tour of Masao Maruyama's home library,C00088,"000, 100",bibliography,丸山眞男が生前所有していた蔵書の保管場所をウェブ上でバーチャルに表現したもの。該当する棚をクリックすると、そこに配架されていた本の書誌が一覧で表示される。丸山眞男の蔵書は、現在東京女子大学丸山眞男文庫として保管されており、保存の観点から一部は閉架書庫に配架されている。,,http://maruyamabunko.twcu.ac.jp/shoko/index.html,31.12.2022,OK
D00047,吉本隆明の183講演,,C00022,100,"text, sound",吉本隆明の1960年代から2008年までの講演（１８３回、２１７４６分）をSoundCloudにて公開している。講演の一部はテキスト化もされている。,,https://www.1101.com/yoshimoto_voice/,31.12.2022,OK
D00048,Bibliographie zur historischen Japanforschung,,,900,bibliography,ドイツ語圏で発表されドイツ語で書かれた、日本の歴史に関する学術書、学術論文を検索できるデータベース。２００３年以降に出版されたものが対象。,,https://www.historische-japanforschung.de/,31.12.2022,OK
D00049,日本版 Map Warper,Japanese Map Warper,,900,cartographic material,Map Warper によってデジタル地図画像をジオレファレンスして、OpenStreetMapなどの重ねあわせたりなど、GISで扱えるようにする。また、ここにアップロードされた画像はオープンアクセス資料として公開される。,,https://mapwarper.h-gis.jp/,31.12.2022,OK
D00050,古地図コレクション,,C00035,900,cartographic material,国土地理院が所有する古地図をデジタル化し公開したもの。一部は高精細画像,,https://kochizu.gsi.go.jp/,31.12.2022,OK
D00051,Old Maps of Japan,,C00007,900,cartographic material,スイスの会社Klokan Technologies GmbHとスイス・イギリスの歴史GISプロジェクトがもとになって開発した古地図をタイムライン・OpenStreetMap地図上から、など様々な方法で探すことができる。,,https://www.oldmapsonline.org/en/Japan,31.12.2022,OK
D00052,地質調査所 初期出版資料デジタルアーカイブ,,C00050,900,cartographic material,明治時代から1945年以前に旧地質調査所で発行された出版資料を閲覧できる。資料はIIIFで公開されている。,,https://gbank.gsj.jp/ld/app/darc/,31.12.2022,OK
D00053,日本古典籍くずし字データセット,,C00030,"000, 400, 900",dataset,日本古典籍データセットで公開されるデジタル化された古典籍を中心に、翻刻テキストを制作する過程で生まれるくずし字の座標情報などを、機械のための学習データや人間のための学習データとして提供している。データセットには機械学習用のもと人間のための学習データがある。,,http://codh.rois.ac.jp/char-shape/,31.12.2022,OK
D00054,日本古典籍データセット,,C00030,"000, 800",dataset,日本語の歴史的典籍の国際共同研究ネットワーク構築計画においてデジタル化された古典籍のデータを、日本古典籍データセットとして公開している。現在は国文学研究資料館が所蔵するオープンデータを中心に提供している。,,http://codh.rois.ac.jp/pmjt/,31.12.2022,OK
